WinningCorner,title_fight,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,Blue_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,Red_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
0,0,1,0,0,0.42,0.495,0.33,0.36,0.5,1,0,0,50,20,84,45,76.5,41,114,64,1.5,1,9,6.5,39.5,11,63,27.5,7.5,7,12,9,3,2,9,8.5,35,12.5,43.5,17.5,10.5,4.5,4,3,4.5,3,36.5,24.5,34,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,0,165.1,170.18,135,1,0,0.5,0.46,0,0,0,0,0,0,34,17,13,6,35,18,16,9,0,0,3,0,32,15,11,5,2,2,2,1,0,0,0,0,33,16,12,6,1,1,1,0,0,0,0,0,5,54,166,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,170.18,177.8,135,31,27
0,0,8,0.5,0,0.66,0.30500000000000005,0.3,0.5,1.5,0,0,0,65.5,35,50,16.5,113.5,68.5,68.5,29,2.5,1.5,0.5,0.5,46,20,36,7.5,12,8,8,3,7.5,7,6,6,58,30,48,15.5,0.5,0.5,0.5,0.5,7,4.5,1.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,0,187.96,193.04,205,1.03125,0.0625,0.576875,0.38125000000000003,0.40625,0.11625,0.25,1.1875,0.375,0.25,77.5625,43.15625,69.15625,27.59375,93.125,57.21875,98.34375,52.46875,1.28125,0.78125,4.6875,0.4375,71.09375,38.0625,50.40625,13.34375,4.6875,3.3125,9.09375,6.15625,1.78125,1.78125,9.65625,8.09375,58.3125,30.4375,63.3125,23.125,6.96875,3.65625,5,4.125,12.28125,9.0625,0.84375,0.34375,176.15625,154.6875,747.34375,17,0,2,0,2,4,2,0,0,1,0,3,0,0,0,182.88,187.96,185,32,28
1,0,10,0,0,0.515,0.47374999999999995,0.43500000000000005,0.25,1.25,0.625,0,0.25,86,40.75,55.5,25.125,150.625,93.5,79,46.75,6.375,2.625,0.25,0.25,60.625,23.125,42.375,14.625,10,4.5,10.625,8.25,15.375,13.125,2.5,2.25,68.875,29.625,50.125,20.25,3.125,2,3,2.75,14,9.125,2.375,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,3,177.8,182.88,145,0.3125,0.015625,0.56515625,0.34359375000000003,0.33703125,0.04890625,0.0390625,0,0,0.5,78.9296875,42.1875,78.6171875,32.046875,110.9140625,68.0625,99.2890625,48.8984375,1.40625,0.6328125,5.6875,0.515625,65.1953125,32.28125,54.765625,14.3203125,9.609375,5.9453125,16.7265625,11.3046875,4.125,3.9609375,7.125,6.421875,62.28125,28.8828125,67.5390625,25.15625,6.234375,5.171875,3.875,3.2734375,10.4140625,8.1328125,7.203125,3.6171875,59.03125,193.546875,649.3046875,18,1,1,0,6,7,1,0,0,1,2,2,2,0,0,182.88,190.5,155,27,41
1,0,9,0.046875,0.125,0.45927734374999996,0.4046875,0.3221875,0.068867188,0.189453125,0,0.283203125,0,130.8183594,60.11328125,129.3378906,50.54882813,151.5546875,78.32421875,137.4277344,58.5078125,2.73046875,1.453125,1.552734375,0.28515625,102.328125,38.81445313,111.2675781,37.83007813,20.95117188,14.41992188,12.15625,7.1796875,7.5390625,6.87890625,5.9140625,5.5390625,125.1308594,55.88867188,122.1933594,45.86914063,5.03125,3.763671875,6.263671875,3.966796875,0.65625,0.4609375,0.880859375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,0,180.34,193.04,170,0.625,0,0.493125,0.43000000000000005,0,0.6875,0,0.25,0.25,0.25,73.8125,33.5,61.0625,26.5,77.5625,36.5625,67.4375,32.125,0,0,2.375,1.375,56.5625,23.375,51.5625,19.0625,11.375,5.875,5.5625,4.1875,5.875,4.25,3.9375,3.25,66.75,28.9375,55.75,23.6875,5.375,3,4.5,2.25,1.6875,1.5625,0.8125,0.5625,13.5,92.4375,445,10,0,2,0,2,4,1,0,0,0,1,3,0,0,0,182.88,180.34,170,35,31
0,0,8,0.15625,0,0.7915820312499999,0.850585938,0.269199219,0.39339843750000003,0.029296875,0.080078125,0.0234375,0.041015625,39.2109375,26.078125,24.49414063,11.953125,61.64453125,47.79101563,31.27929688,17.46484375,0.935546875,0.529296875,2.759765625,1.451171875,31.01953125,19.921875,15.76367188,5.615234375,4.162109375,2.685546875,4.70703125,2.8203125,4.029296875,3.470703125,4.0234375,3.517578125,25.35546875,14.09375,17.171875,7.177734375,3.630859375,2.984375,1.857421875,1.353515625,10.22460938,9,5.46484375,3.421875,69.5,82.31640625,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,0,190.5,205.74,185,0.024551392,0.220703125,0.5156361389160156,0.445974121,0.35582427978515624,0,9.1552734375e-05,0,0,0,133.4735107421875,72.17990112304688,95.71842956542969,41.51147461,150.52398681640625,88.71699523925781,102.14643859863281,47.68928527832031,8.111679077148438,3.008209228515625,2.156860352,0,98.62075805664062,46.65184020996094,66.27102661132812,20.732513427734375,22.163742065429688,15.460418701171875,21.706512451171875,16.69836426,12.689010620117188,10.067642211914062,7.7408905029296875,4.080596923828125,102.85295104980469,50.01177978515625,84.98669434,32.964813232421875,11.84820556640625,7.164001465,10.287551879882812,8.202209473,18.772354125976562,15.004119873046875,0.44418335,0.344451904,157.81211853027344,3.515289306640625,683.1185607910156,31,0,2,0,5,12,5,0,0,0,4,7,1,0,1,185.42,195.58,185,28,37
1,0,4,1,0.625,0.47375,0.24125,0.28125,0,0.875,0,0,0,71.25,36.125,85.25,23.5,84.25,47,89.5,27.5,1.625,1.125,0.5,0,45.625,18.25,67.5,12.375,20.375,13,12,6.875,5.25,4.875,5.75,4.25,63.125,30.75,79.625,20.75,0.125,0.125,0.25,0.125,8,5.25,5.375,2.625,119.75,2.25,552.875,10,0,3,0,3,3,1,0,0,1,1,0,1,0,0,167.64000000000001,167.64000000000001,125,0,0,0.53,0.49,0.28,0,0,0,0,0,91,49,149,74,94,51,152,77,7,2,1,0,76,36,83,27,8,8,38,26,7,5,28,21,91,49,146,72,0,0,1,1,0,0,2,1,25,24,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,165.1,172.72,125,28,27
1,0,6,1.0625,0,0.473125,0.663125,0.6012500000000001,0.10500000000000001,0.5,0.0625,0.0625,0.5,49.3125,22.0625,51.8125,31.625,51.3125,24.0625,67.625,46.875,3,1.5625,1.0625,0.5,44.875,18.5625,44.0625,24.75,4.3125,3.4375,3.125,2.5,0.125,0.0625,4.625,4.375,41.3125,16.5625,33.3125,16.125,3.375,2.1875,4.6875,3.625,4.625,3.3125,13.8125,11.875,128.75,50.9375,423.3125,10,0,4,0,4,4,1,0,0,1,1,1,1,0,0,195.57999999999998,200.66,205,0,0.28125,0.5615625,0.5733203124999999,0.392773438,0.0703125,0.77734375,0.0625,1.015625,0.5,12.40625,6.90625,23.26171875,13.3671875,29.39453125,22.2265625,28.90625,17.421875,1.234375,0.6875,0.4765625,0.078125,8.87890625,3.94921875,21.10546875,11.62109375,3.12890625,2.5625,1.9453125,1.60546875,0.3984375,0.39453125,0.2109375,0.140625,6.41015625,2.4921875,4.37109375,1.890625,3.796875,2.71484375,3.1328125,2.46875,2.19921875,1.69921875,15.7578125,9.0078125,82.94140625,38.19921875,161.4882813,12,0,4,0,4,6,3,0,0,0,0,1,5,0,0,190.5,195.58,205,29,34
1,0,1,0.5,0.625,0.464375,0.398125,0.48375,0.048125,0.5,0.34375,0.28125,1.0625,115.03125,50.0625,108.6875,41.9375,125.78125,59.34375,120,52.40625,4.625,2.65625,1.3125,0.3125,87.46875,28.625,85.65625,27.8125,18.875,13.96875,19.125,11.71875,8.6875,7.46875,3.90625,2.40625,104.625,44.4375,99,37.625,4.375,2.46875,2.125,1.5,6.03125,3.15625,7.5625,2.8125,178.9375,86.875,701.4375,15,1,0,1,2,3,3,0,0,1,1,1,0,0,0,172.72,175.26,135,0.8125,0.0625,0.43406249999999996,0.4221875,0.28125,0.109375,0,0.0625,0.03125,0.0625,166.75,70.1875,140.28125,56.4375,171.625,74.46875,145.28125,61.125,0.75,0.3125,3.78125,0.4375,128.375,45.59375,100.75,25.40625,31.875,19.3125,25.84375,17.90625,6.5,5.28125,13.6875,13.125,155.15625,60.125,130.78125,48.0625,3.875,3.5625,9.125,8.09375,7.71875,6.5,0.375,0.28125,45.875,34.53125,835.125,18,0,0,1,2,4,2,0,0,0,2,2,0,0,1,172.72,177.8,135,35,26
0,0,3,0,0.3125,0.5293749999999999,0.4075,0.5,0.160625,1.3125,0.3125,0.375,0.25,158.8125,84.25,146.5,64.625,171.1875,96.0625,180.3125,95.875,8.9375,4.4375,2.4375,0.5,122.0625,54.3125,110.125,37.9375,29.4375,23.1875,32.125,23.25,7.3125,6.75,4.25,3.4375,132.3125,64.0625,110.25,39.375,23.3125,17.5625,22.625,17.75,3.1875,2.625,13.625,7.5,225.5,58.875,837.875,15,0,1,0,3,4,1,0,0,0,2,0,2,0,1,167.64000000000001,167.64000000000001,145,0.09375,0.25,0.44078125,0.42054687500000004,0.186796875,0.6,0.03125,0.140625,0.015625,0.078125,172.109375,73.21875,183.46875,78.25,185.4375,84.4140625,190.5859375,84.8515625,6.25,0.53125,1.84375,0.9375,125.8671875,39.875,142.3515625,49.359375,32.4765625,22.125,27.640625,16.9765625,13.765625,11.21875,13.4765625,11.9140625,161.203125,64.7109375,159.6171875,65.1484375,5.734375,4.21875,5.046875,3.3125,5.171875,4.2890625,18.8046875,9.7890625,63.453125,123.65625,1167.640625,22,0,0,1,6,6,2,0,0,2,2,1,1,0,0,170.18,180.34,145,34,29
0,0,9,0,0.5,0.52,0.525,0.33,0,0.5,0,0,0,18,11,13,9.5,37.5,26,24,20.5,2,1,0,0,15,8.5,12.5,9.5,1.5,1,0.5,0,1.5,1.5,0,0,7,3.5,5,2,0,0,0,0,11,7.5,8,7.5,189.5,5.5,238.5,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,177.8,177.8,170,1,0,0.5,0.42,1,0,1,0,0,0,233,118,182,77,237,122,197,89,2,2,1,0,186,79,165,61,23,16,9,8,24,23,8,8,218,107,179,76,8,7,2,1,7,4,1,0,166,0,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,3,185.42,190.5,170,34,28
